	ERR9081485	ERR9081486	ERR9081487	ERR9081488	ERR9081489	ERR9081490
AT3G48680.1	103.972584	94.299431	103.434712	107.557363	103.862176	106.591428
AT3G48690.1	186.954379	196.885	203.22896	206.016087	232.250684	217.421862
AT3G48700.1	1.892374	1.520332	2.300162	2.478201	2.347065	2.277901
AT3G48710.1	14.06647	12.840476	14.914446	12.885347	13.989975	13.883501
AT3G48720.1	13.953409	17.139029	18.388487	16.192023	17.907222	19.278102
AT3G48730.1	93.804543	87.41449	88.9211	78.754727	71.490614	78.930124
AT3G48740.1	130.139051	104.075569	157.518021	156.293917	88.190869	145.053197
AT3G48750.1	51.441515	50.794107	57.294519	55.530489	57.259975	60.905866
AT3G48760.1	52.991754	56.026741	51.958925	52.912262	59.140903	58.08897
AT3G48770.1	0	0	0	0	0	0
AT3G48770.2	0.051408	0.090202	0.087777	0.094277	0.06864	0.028775
AT3G48780.1	49.827187	50.659596	49.623088	53.158649	54.593639	50.956738
AT3G48780.2	0	0.509221	0.741272	0.240746	0.288317	0.44938
AT3G48790.1	0.077846	0.144555	0.028033	0.119346	0.165488	0.143366
AT3G48790.2	0.127456	0	0.18661	0.0646	0	0
AT3G48800.1	10.90129	9.443528	10.469496	9.250796	9.481684	9.911247
AT3G48810.1	2.392476	2.256833	2.360087	2.450622	2.439654	2.113493
AT3G48820.1	9.097472	8.710087	10.023183	8.498241	9.527673	9.703448
AT3G48820.2	2.361857	2.471354	4.488978	4.05749	2.122928	3.083961
AT3G48830.1	1.36783	1.268214	1.983182	1.463863	1.578632	1.437968
AT3G48835.1	0.093381	0.168457	0.480235	0.322181	0.155756	0.295125
AT3G48840.1	0.16125	0	0.042787	0	0	0
AT3G48840.2	0	0.086331	0	0	0	0.147069
AT3G48850.1	1.186632	0.862117	1.240071	1.032877	0.636238	1.071946
AT3G48860.1	7.001933	8.478678	5.337175	7.081095	8.013459	10.081261
AT3G48860.2	11.719015	7.734515	10.211919	8.341595	8.206219	7.25302
AT3G48860.3	9.76325	13.702485	10.504662	13.446466	13.088785	11.449811
AT3G48870.1	72.733545	73.671269	80.054464	79.042258	69.868295	71.318412
AT3G48870.2	3.348375	0.765298	1.390667	1.152745	1.62578	3.635436
AT3G48870.3	2.259649	1.343881	1.16981	0	1.23795	0.532593
AT3G48870.4	0	0	0	0.708334	0	0
AT3G48880.1	3.570467	3.205214	2.689425	2.517545	3.739886	3.293687
AT3G48880.2	25.051843	27.588454	28.368022	28.011252	29.774118	27.440786
AT3G48880.3	0.926503	1.008187	1.024347	0.653387	0.729006	1.012745
AT3G48890.1	93.371079	86.532151	93.007227	86.524368	95.115767	88.748215
AT3G48900.1	0	0.182547	0.332655	0.324958	0.125638	0.467049
AT3G48900.2	0.368676	0.681147	0.810881	0.592882	0.659826	0.387908
AT3G48900.3	0.576403	0.048356	0	0.057531	0.029995	0
AT3G48920.1	13.9493	12.164004	14.948598	12.630784	11.221044	14.995487
AT3G48930.1	241.483922	236.211867	278.788712	239.892585	238.01943	236.898814
AT3G48940.1	7.930203	10.613157	4.429581	4.191984	7.069788	8.837821
AT3G48950.1	0	0	0	0	0	0
AT3G48960.1	0	0	0	0	0	0
AT3G48970.1	3.556552	4.161153	5.111778	3.503397	3.022022	3.794543
AT3G48970.2	0.112245	0.165605	0.155455	0.046326	0.288319	0.036768
AT3G48970.3	1.476353	2.411224	0	1.69645	3.561911	1.162682
AT3G48980.1	4.330956	4.022643	3.919671	3.408389	3.535946	4.237112
AT3G48980.2	0.429328	0.483443	0.578936	0.675418	0.439585	1.006038
AT3G48990.1	532.553468	538.171697	548.67512	579.363353	552.602348	596.21578
AT3G49000.1	7.100602	6.48393	6.650177	6.704932	6.501685	6.241476
AT3G49010.1	0.225483	0.182583	0	0	0.924608	0
AT3G49010.2	328.268418	317.344115	379.925493	329.030892	301.193471	319.660131
AT3G49010.3	5.850306	7.028901	8.175103	7.069724	5.71392	4.959824
AT3G49010.4	1.478046	0.631052	1.95828	0.753756	1.477343	0.778821
AT3G49010.5	0.15199	0	0.065664	0	0.079564	0
AT3G49010.6	0.160714	0.068215	0.360293	0.094474	0.467895	0.075849
AT3G49010.7	0.639442	0.88642	0.930829	0.646306	0.554045	0.608267
AT3G49020.1	0	0.015619	0	0	0	0
AT3G49030.1	0	0	0	0	0	0
AT3G49030.2	0	0	0	0	0	0
AT3G49040.1	0	0	0	0	0	0
AT3G49045.1	0	0	0	0	0	0
AT3G49050.1	8.671502	9.09123	8.69392	8.025127	9.147848	7.942997
AT3G49055.1	0.580531	0.394588	0.32822	0.266935	0.608703	0.389757
AT3G49060.1	13.469088	14.520884	13.191371	14.15586	15.656205	14.122358
AT3G49060.2	1.662015	0.969319	1.526057	1.280002	1.709234	1.057893
AT3G49060.3	0.476014	0.550455	0.645805	0.657028	0.493792	0.750806
AT3G49070.1	0.209681	0.251374	0.136234	0.208393	0.382272	0.297414
AT3G49070.2	4.878072	3.783483	3.294975	2.874281	3.406764	3.9759
AT3G49080.1	24.888446	24.686787	29.584519	25.76035	25.711516	25.018107
AT3G49100.1	25.59562	27.9715	27.052672	27.697653	29.99721	28.78302
AT3G49100.2	0.322924	0.525387	0.201734	0.421332	0.035219	0.088773
AT3G49110.1	8.912807	5.606524	6.860019	6.80184	5.882278	5.08057
AT3G49115.1	0	0	0	0	0	0
AT3G49120.1	467.964196	449.740875	468.969214	513.992768	518.423249	604.091354
AT3G49130.1	0.079323	0.103814	0.409351	0.329367	0.185164	0.323485
AT3G49140.1	62.345342	61.623933	56.441794	55.249669	58.463046	50.955212
AT3G49142.1	1.137381	1.49447	1.36907	1.27401	1.499646	1.281301
AT3G49150.1	0	0	0.017819	0	0	0
AT3G49155.1	0.091427	0.029895	0	0.042227	0.183001	0.067755
AT3G49160.1	3.956674	3.504209	2.824353	2.604788	4.489595	2.837896
